Departamento,Municipio,Cantidad,Divipola
CUNDINAMARCA,CUCUNUBA,7013,25224
CUNDINAMARCA,EL COLEGIO,22775,25245
CUNDINAMARCA,EL PEÑON,3458,25258
CUNDINAMARCA,EL ROSAL,21887,25260
CUNDINAMARCA,FACATATIVA,136041,25269
CUNDINAMARCA,FOMEQUE,10749,25279
CUNDINAMARCA,FOSCA,5578,25281
CUNDINAMARCA,FUNZA,90854,25286
CUNDINAMARCA,FUQUENE,4849,25288
CUNDINAMARCA,FUSAGASUGA,134658,25290
CUNDINAMARCA,GACHALA,4378,25293
CUNDINAMARCA,GACHANCIPA,16633,25295
CUNDINAMARCA,GACHETA,8203,25297
CUNDINAMARCA,GAMA,3055,25299
CUNDINAMARCA,GIRARDOT,92903,25307
